gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,phenotype
NC_059446.1+LOC100194635,78.7642660086144,-10.2207409498269,2.94903291215064,-3.46579412786995,0.00052866791973613,0.0190320451105007,NC_059446.1_16099761MM
NC_059446.1+LOC106604313,481.456163386008,1.15635760554409,0.359995652284293,3.21214325286045,0.00131748662883938,0.0474295186382178,NC_059446.1_16256914MM
NC_059446.1+LOC100194635,78.7642660086144,4.69657107136592,1.34430294236956,3.49368503433268,0.000476402713840596,0.010099670888395,NC_059446.1_16274373MM
NC_059446.1+LOC106604372,29.2364000876992,8.35489014970076,2.42187836645237,3.44975629884304,0.000561092827133053,0.010099670888395,NC_059446.1_16274373MM
NC_059446.1+atg2a,424.240573371345,0.391131232935774,0.11122172113135,3.51668027573372,0.000436979802653587,0.0022671913743134,Feed.TypeFeed2
NC_059446.1+ccdc88b,54.3148831348492,0.4065955306396,0.174133597116229,2.33496313964162,0.0195453464109022,0.0488633660272556,Feed.TypeFeed2
NC_059446.1+ganabb,284.252659769748,-0.521998716172539,0.126133390562514,-4.13846574522888,3.49636060820278e-05,0.000611863106435486,Feed.TypeFeed2
NC_059446.1+LOC106604312,392.134070513988,-0.408414371953023,0.102763360000816,-3.97431897857152,7.0580919327329e-05,0.000823444058818838,Feed.TypeFeed2
NC_059446.1+LOC106604313,481.456163386008,0.493983597869916,0.127679409229461,3.86893705767501,0.000109310853492954,0.00083694349965883,Feed.TypeFeed2
NC_059446.1+LOC106604316,44.6499870957332,-0.581532194503984,0.215466513411428,-2.69894465407514,0.00695597435114943,0.024345910229023,Feed.TypeFeed2
NC_059446.1+LOC106604360,35.3955505062431,1.06106379569099,0.442021438291415,2.40048039251765,0.0163735679192143,0.0440826828594232,Feed.TypeFeed2
NC_059446.1+LOC106604371,84.0552952589968,-0.446930737641296,0.183343914054899,-2.43766333856858,0.0147825341307621,0.0431157245480563,Feed.TypeFeed2
NC_059446.1+LOC106604377,68.7056272182829,-0.718493846359614,0.204882751315239,-3.50685375780667,0.00045343827486268,0.0022671913743134,Feed.TypeFeed2
NC_059446.1+LOC106604378,59.8855874648638,-0.539293409415429,0.203944739254741,-2.64431145116136,0.00818572976725354,0.0260455038048976,Feed.TypeFeed2
NC_059446.1+LOC106604384,711.397520361808,-0.29452802310278,0.107099367479238,-2.75004446837537,0.00595871776765613,0.0231727913186627,Feed.TypeFeed2
NC_059446.1+LOC106604390,44.6025291194307,-0.819867062269081,0.213117458535805,-3.84701970407243,0.000119563357094119,0.00083694349965883,Feed.TypeFeed2
NC_059446.1+pola2,96.9095897442114,-0.743413704101244,0.150572190754586,-4.93725767271938,7.92287600934019e-07,2.77300660326907e-05,Feed.TypeFeed2
NC_059446.1+si:ch211-114c17.1,233.467911106469,0.360885724610108,0.109600408874703,3.29274067784434,0.000992159392528204,0.00434069734231089,Feed.TypeFeed2
