gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,phenotype
NC_059446.1+atg2a,452.831770561513,0.483332464903547,0.0926591706784484,5.21623991845165,1.82591647191465e-07,2.19109976629758e-06,Feed.TypeFeed2
NC_059446.1+ganabb,279.109378928952,-0.507285320931709,0.0988309803765576,-5.13285731861499,2.85376247764165e-07,2.56838622987749e-06,Feed.TypeFeed2
NC_059446.1+hnrh1,288.038432702065,-0.172109965949225,0.0627556329069712,-2.74254211099043,0.00609656321925912,0.0146317517262219,Feed.TypeFeed2
NC_059446.1+LOC106604312,387.837132981372,-0.357808437678602,0.086592228610591,-4.13210796649757,3.59451499349757e-05,0.000258805079531825,Feed.TypeFeed2
NC_059446.1+LOC106604313,479.229233823011,0.331079097441112,0.102917664153925,3.21693171102237,0.00129569435045424,0.00424045423785023,Feed.TypeFeed2
NC_059446.1+LOC106604316,42.6810308361851,-0.499287484265409,0.165949162264406,-3.00867734101542,0.00262387616378985,0.00787162849136954,Feed.TypeFeed2
NC_059446.1+LOC106604371,84.8843831879496,-0.441633214320562,0.15242764017191,-2.89733025993502,0.00376353334707944,0.0104220923457584,Feed.TypeFeed2
NC_059446.1+LOC106604377,67.4340733375429,-0.569806084357961,0.148892781780892,-3.82695572977123,0.000129737836826218,0.000667223160820548,Feed.TypeFeed2
NC_059446.1+LOC106604378,58.7919122306653,-0.53483187633388,0.154953141779555,-3.45157168284307,0.000557331689585754,0.00222932675834302,Feed.TypeFeed2
NC_059446.1+LOC106604384,714.367332102508,-0.193891813189994,0.0802428415918732,-2.41631289898924,0.0156785816705826,0.035276808758811,Feed.TypeFeed2
NC_059446.1+LOC106604388,150.673776063162,-0.435585290633457,0.128950597085442,-3.37792379778468,0.000730353165194398,0.00262927139469983,Feed.TypeFeed2
NC_059446.1+LOC106604390,42.2812602152872,-0.829352796038616,0.158118789141541,-5.24512488706333,1.56176501974491e-07,2.19109976629758e-06,Feed.TypeFeed2
NC_059446.1+LOC123743083,805.501623857722,-0.484975930100152,0.119810710977988,-4.04785119912403,5.16899889137842e-05,0.000310139933482705,Feed.TypeFeed2
NC_059446.1+pola2,96.2931455908961,-0.690702718782341,0.114273215938622,-6.04430979831119,1.50050949551464e-09,5.4018341838527e-08,Feed.TypeFeed2
NC_059446.1+si:ch211-114c17.1,240.267396647453,0.284064842747893,0.0767468285957423,3.70132353278312,0.00021447779475124,0.000965150076380579,Feed.TypeFeed2
NC_059446.1+trmt112,34.7059426655456,-0.308502878556676,0.134365014819882,-2.29600598764662,0.0216755390211888,0.045901141456635,Feed.TypeFeed2
NC_059446.1+zdhhc24,216.251992037587,-0.410850817766367,0.144480076265975,-2.84365033840394,0.00445999631431497,0.0114685619510956,Feed.TypeFeed2
NC_059446.1+atg2a,452.831770561513,-0.286174587209257,0.0814722013637541,-3.51254271296236,0.000443840656888111,0.007989131823986,Size.class.L
NC_059446.1+LOC106604360,40.9970089872628,-1.07855892438284,0.29678241316768,-3.63417398245044,0.000278872638256554,0.007989131823986,Size.class.L
NC_059446.1+pola2,96.2931455908961,0.295163073525792,0.100386144292347,2.94027702335305,0.00327918924112221,0.0295127031700999,Size.class.L
NC_059446.1+rnaseh2c,93.1385115122995,0.333027515287862,0.112736661377213,2.95403031471337,0.00313653193525507,0.0295127031700999,Size.class.L
